	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
AM-388-A01_contigs_AM-388-A01_NODE_1_11	AM-388-A01_contigs	AM-388-A01_NODE_1	11	9622	10773	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_1_12	AM-388-A01_contigs	AM-388-A01_NODE_1	12	10793	11794	-1	C	K00053	ketol-acid reductoisomerase [EC:1.1.1.86]								Acetohydroxy acid isomeroreductase, NADPH-binding domain [PF07991.15]; Acetohydroxy acid isomeroreductase, catalytic domain [PF01450.22]; D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain [PF02826.22]; S-adenosyl-L-homocysteine hydrolase, NAD binding domain [PF00670.24]					0
AM-388-A01_contigs_AM-388-A01_NODE_1_13	AM-388-A01_contigs	AM-388-A01_NODE_1	13	11852	12595	1	C	K23356	HTH-type transcriptional regulator, sugar sensing transcriptional regulator								Sugar-specific transcriptional regulator TrmB [PF01978.22]					0
AM-388-A01_contigs_AM-388-A01_NODE_1_14	AM-388-A01_contigs	AM-388-A01_NODE_1	14	12601	13773	-1	D										Isocitrate/isopropylmalate dehydrogenase [PF00180.23]					0
AM-388-A01_contigs_AM-388-A01_NODE_1_15	AM-388-A01_contigs	AM-388-A01_NODE_1	15	13985	14392	1	D										TRAM domain [PF01938.23]					0
AM-388-A01_contigs_AM-388-A01_NODE_1_16	AM-388-A01_contigs	AM-388-A01_NODE_1	16	14599	15195	1	D										Ribosomal protein S2 [PF00318.23]					0
AM-388-A01_contigs_AM-388-A01_NODE_1_17	AM-388-A01_contigs	AM-388-A01_NODE_1	17	15209	16189	-1	C	K00057	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]								NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus [PF01210.26]; NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus [PF07479.17]; Bacterial GPD, NAD-dependent C-terminal [PF20618.1]; NADP oxidoreductase coenzyme F420-dependent [PF03807.20]					0
AM-388-A01_contigs_AM-388-A01_NODE_1_18	AM-388-A01_contigs	AM-388-A01_NODE_1	18	16186	16839	-1	C	K00655	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]								Acyltransferase [PF01553.24]; Acyltransferase [PF19576.2]					0
AM-388-A01_contigs_AM-388-A01_NODE_1_19	AM-388-A01_contigs	AM-388-A01_NODE_1	19	16841	17500	-1	C	K00655	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]								Acyltransferase [PF01553.24]; Acyltransferase [PF19576.2]					0
AM-388-A01_contigs_AM-388-A01_NODE_1_20	AM-388-A01_contigs	AM-388-A01_NODE_1	20	17493	18674	-1	C	K03522	electron transfer flavoprotein alpha subunit								Electron transfer flavoprotein domain [PF01012.24]; Electron transfer flavoprotein FAD-binding domain [PF00766.22]					0
AM-388-A01_contigs_AM-388-A01_NODE_1_21	AM-388-A01_contigs	AM-388-A01_NODE_1	21	18671	19447	-1	C	K03521	electron transfer flavoprotein beta subunit								Electron transfer flavoprotein domain [PF01012.24]					0
AM-388-A01_contigs_AM-388-A01_NODE_1_22	AM-388-A01_contigs	AM-388-A01_NODE_1	22	19449	20603	-1	C	K00248	butyryl-CoA dehydrogenase [EC:1.3.8.1]								Acyl-CoA dehydrogenase, C-terminal domain [PF00441.27]; Acyl-CoA dehydrogenase, N-terminal domain [PF02771.19]; Acyl-CoA dehydrogenase, middle domain [PF02770.22]; Acyl-CoA dehydrogenase, C-terminal domain [PF08028.14]					0
AM-388-A01_contigs_AM-388-A01_NODE_1_23	AM-388-A01_contigs	AM-388-A01_NODE_1	23	20710	21417	-1	D										Thymidylate kinase [PF02223.20]					0
AM-388-A01_contigs_AM-388-A01_NODE_1_24	AM-388-A01_contigs	AM-388-A01_NODE_1	24	21488	22225	-1	C	K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]								Enoyl-(Acyl carrier protein) reductase [PF13561.9]; short chain dehydrogenase [PF00106.28]; KR domain [PF08659.13]					0
AM-388-A01_contigs_AM-388-A01_NODE_1_25	AM-388-A01_contigs	AM-388-A01_NODE_1	25	22231	23358	-1	D										Thiolase, C-terminal domain [PF02803.21]; Thiolase, N-terminal domain [PF00108.26]					0
AM-388-A01_contigs_AM-388-A01_NODE_1_26	AM-388-A01_contigs	AM-388-A01_NODE_1	26	23361	23888	-1	C	K00177	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]								Pyruvate ferredoxin/flavodoxin oxidoreductase [PF01558.21]					0
AM-388-A01_contigs_AM-388-A01_NODE_1_27	AM-388-A01_contigs	AM-388-A01_NODE_1	27	23885	24649	-1	C	K00175	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]								Thiamine pyrophosphate enzyme, C-terminal TPP binding domain [PF02775.24]					0
AM-388-A01_contigs_AM-388-A01_NODE_1_28	AM-388-A01_contigs	AM-388-A01_NODE_1	28	24646	25701	-1	C	K00174	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]								Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg [PF01855.22]; Pyruvate:ferredoxin oxidoreductase core domain II [PF17147.7]					0
AM-388-A01_contigs_AM-388-A01_NODE_1_29	AM-388-A01_contigs	AM-388-A01_NODE_1	29	25694	25873	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_1_30	AM-388-A01_contigs	AM-388-A01_NODE_1	30	25870	27045	-1	D										Domain of unknown function (DUF362) [PF04015.15]					0
AM-388-A01_contigs_AM-388-A01_NODE_1_31	AM-388-A01_contigs	AM-388-A01_NODE_1	31	27008	28150	-1	D										Thiolase, C-terminal domain [PF02803.21]; Thiolase, N-terminal domain [PF00108.26]					0
AM-388-A01_contigs_AM-388-A01_NODE_1_32	AM-388-A01_contigs	AM-388-A01_NODE_1	32	28170	28670	-1	C	K02372	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]								FabA-like domain [PF07977.16]					0
AM-388-A01_contigs_AM-388-A01_NODE_1_33	AM-388-A01_contigs	AM-388-A01_NODE_1	33	28851	30737	1	C	K01961	acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]								Carbamoyl-phosphate synthase L chain, ATP binding domain [PF02786.20]; Biotin carboxylase, N-terminal domain [PF00289.25]; Biotin carboxylase C-terminal domain [PF02785.22]; D-ala D-ala ligase C-terminus [PF07478.16]; ATP-grasp domain [PF02655.17]; ATP-grasp domain [PF02222.25]; RimK-like ATP-grasp domain [PF08443.14]					1
AM-388-A01_contigs_AM-388-A01_NODE_1_34	AM-388-A01_contigs	AM-388-A01_NODE_1	34	30730	31020	1	D										Biotin/lipoate A/B protein ligase family [PF03099.22]					0
AM-388-A01_contigs_AM-388-A01_NODE_10_1	AM-388-A01_contigs	AM-388-A01_NODE_10	1	3	590	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_10_2	AM-388-A01_contigs	AM-388-A01_NODE_10	2	591	1121	-1	D										Cytidylate kinase-like family [PF13189.9]; Cytidylate kinase [PF02224.21]; AAA domain [PF13238.9]; AAA domain [PF13207.9]; Adenylate kinase [PF00406.25]					0
AM-388-A01_contigs_AM-388-A01_NODE_10_3	AM-388-A01_contigs	AM-388-A01_NODE_10	3	1157	1939	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_10_4	AM-388-A01_contigs	AM-388-A01_NODE_10	4	1995	2477	-1	D										ubiE/COQ5 methyltransferase family [PF01209.21]; Methyltransferase domain [PF08241.15]; Methyltransferase domain [PF13847.9]; Methyltransferase domain [PF13649.9]; Methyltransferase domain [PF13489.9]; Methionine biosynthesis protein MetW [PF07021.15]; Methyltransferase domain [PF08242.15]; Mycolic acid cyclopropane synthetase [PF02353.23]					0
AM-388-A01_contigs_AM-388-A01_NODE_10_5	AM-388-A01_contigs	AM-388-A01_NODE_10	5	2491	3333	1	D										DegT/DnrJ/EryC1/StrS aminotransferase family [PF01041.20]					0
AM-388-A01_contigs_AM-388-A01_NODE_10_6	AM-388-A01_contigs	AM-388-A01_NODE_10	6	3330	3650	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_10_7	AM-388-A01_contigs	AM-388-A01_NODE_10	7	3684	4085	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_10_8	AM-388-A01_contigs	AM-388-A01_NODE_10	8	4082	4198	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_10_9	AM-388-A01_contigs	AM-388-A01_NODE_10	9	4279	5613	1	C	K01733	threonine synthase [EC:4.2.3.1]								Pyridoxal-phosphate dependent enzyme [PF00291.28]; Threonine synthase N terminus [PF14821.9]					0
AM-388-A01_contigs_AM-388-A01_NODE_10_10	AM-388-A01_contigs	AM-388-A01_NODE_10	10	5590	6192	-1	C	K02203	phosphoserine / homoserine phosphotransferase [EC:3.1.3.3 2.7.1.39]								haloacid dehalogenase-like hydrolase [PF12710.10]; haloacid dehalogenase-like hydrolase [PF00702.29]					0
AM-388-A01_contigs_AM-388-A01_NODE_10_11	AM-388-A01_contigs	AM-388-A01_NODE_10	11	6199	6390	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_10_12	AM-388-A01_contigs	AM-388-A01_NODE_10	12	6467	8554	1	C	K01874	methionyl-tRNA synthetase [EC:6.1.1.10]								tRNA synthetases class I (M) [PF09334.14]; Anticodon binding domain of methionyl tRNA ligase [PF19303.2]; Putative tRNA binding domain [PF01588.23]; tRNA synthetases class I (I, L, M and V) [PF00133.25]; tRNA synthetases class I (C) catalytic domain [PF01406.22]; tRNA synthetases class I (K) [PF01921.21]					0
AM-388-A01_contigs_AM-388-A01_NODE_10_13	AM-388-A01_contigs	AM-388-A01_NODE_10	13	8606	10096	1	C	K04034	anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase [EC:1.21.98.3]								B12 binding domain [PF02310.22]					0
AM-388-A01_contigs_AM-388-A01_NODE_10_14	AM-388-A01_contigs	AM-388-A01_NODE_10	14	10093	10968	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_10_15	AM-388-A01_contigs	AM-388-A01_NODE_10	15	10969	12954	1	D										Glycosyl transferase family 2 [PF00535.29]; Glycosyltransferase like family 2 [PF13641.9]; Radical SAM superfamily [PF04055.24]; B12 binding domain [PF02310.22]; Glycosyltransferase like family 2 [PF10111.12]; Glycosyl transferase family 21 [PF13506.9]	GT2_Glycos_transf_2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289); alternating beta-1,3/4-N-acetylmannan synthase (2.4.1.-); UDP-GlcA: N-acetylglucosaminyl-proteoglycan beta-1,4-glucuronosyltransferase (EC 2.4.1.225); [inverting] UDP-Glc: glycocin S-beta-glucosyltransferase (EC 2.4.1.-); [inverting] UDP-Glc: protein O-beta-glucosyltransferase (EC 2.4.1.-)		GT2_Glycos_transf_2.hmm	0
AM-388-A01_contigs_AM-388-A01_NODE_10_16	AM-388-A01_contigs	AM-388-A01_NODE_10	16	12954	14108	1	D										Domain of unknown function (DUF362) [PF04015.15]; 4Fe-4S dicluster domain [PF14697.9]; 4Fe-4S dicluster domain [PF12838.10]; 4Fe-4S dicluster domain [PF13187.9]					1
AM-388-A01_contigs_AM-388-A01_NODE_10_17	AM-388-A01_contigs	AM-388-A01_NODE_10	17	14110	14859	1	D										Radical SAM superfamily [PF04055.24]; 4Fe-4S single cluster domain [PF13353.9]; 4Fe-4S single cluster domain [PF13394.9]					0
AM-388-A01_contigs_AM-388-A01_NODE_11_1	AM-388-A01_contigs	AM-388-A01_NODE_11	1	101	2494	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_11_2	AM-388-A01_contigs	AM-388-A01_NODE_11	2	2494	3306	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_11_3	AM-388-A01_contigs	AM-388-A01_NODE_11	3	3360	5273	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_11_4	AM-388-A01_contigs	AM-388-A01_NODE_11	4	5300	12253	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_11_5	AM-388-A01_contigs	AM-388-A01_NODE_11	5	12256	13068	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_11_6	AM-388-A01_contigs	AM-388-A01_NODE_11	6	13070	14170	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_11_7	AM-388-A01_contigs	AM-388-A01_NODE_11	7	14268	14618	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_12_1	AM-388-A01_contigs	AM-388-A01_NODE_12	1	2	2968	-1	D										Concanavalin A-like lectin/glucanases superfamily [PF13385.9]					0
AM-388-A01_contigs_AM-388-A01_NODE_12_2	AM-388-A01_contigs	AM-388-A01_NODE_12	2	2965	3267	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_12_3	AM-388-A01_contigs	AM-388-A01_NODE_12	3	3440	3937	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_12_4	AM-388-A01_contigs	AM-388-A01_NODE_12	4	4151	6304	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_12_5	AM-388-A01_contigs	AM-388-A01_NODE_12	5	6319	8625	-1	D										Type II/IV secretion system protein [PF00437.23]					0
AM-388-A01_contigs_AM-388-A01_NODE_12_6	AM-388-A01_contigs	AM-388-A01_NODE_12	6	9041	9499	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_12_7	AM-388-A01_contigs	AM-388-A01_NODE_12	7	9553	10227	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_12_8	AM-388-A01_contigs	AM-388-A01_NODE_12	8	10242	10766	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_12_9	AM-388-A01_contigs	AM-388-A01_NODE_12	9	10769	11368	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_12_10	AM-388-A01_contigs	AM-388-A01_NODE_12	10	11385	11963	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_12_11	AM-388-A01_contigs	AM-388-A01_NODE_12	11	12098	12676	1	C	K07477	translin								Translin family [PF01997.19]					0
AM-388-A01_contigs_AM-388-A01_NODE_12_12	AM-388-A01_contigs	AM-388-A01_NODE_12	12	12685	13890	1	C	K00773	queuine tRNA-ribosyltransferase [EC:2.4.2.29]								Queuine tRNA-ribosyltransferase [PF01702.21]					0
AM-388-A01_contigs_AM-388-A01_NODE_12_13	AM-388-A01_contigs	AM-388-A01_NODE_12	13	13902	14567	-1	C	K09125	queuosine precursor transporter								Putative vitamin uptake transporter [PF02592.18]					0
AM-388-A01_contigs_AM-388-A01_NODE_13_1	AM-388-A01_contigs	AM-388-A01_NODE_13	1	1	1257	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_13_2	AM-388-A01_contigs	AM-388-A01_NODE_13	2	1254	1439	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_13_3	AM-388-A01_contigs	AM-388-A01_NODE_13	3	1466	2284	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_13_4	AM-388-A01_contigs	AM-388-A01_NODE_13	4	2412	3398	-1	C	K01409	N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]								tRNA N6-adenosine threonylcarbamoyltransferase [PF00814.28]; Carbamoyltransferase N-terminus [PF02543.18]					0
AM-388-A01_contigs_AM-388-A01_NODE_13_5	AM-388-A01_contigs	AM-388-A01_NODE_13	5	3503	3691	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_13_6	AM-388-A01_contigs	AM-388-A01_NODE_13	6	3688	4860	-1	C	K01755	argininosuccinate lyase [EC:4.3.2.1]								Lyase [PF00206.23]					0
AM-388-A01_contigs_AM-388-A01_NODE_13_7	AM-388-A01_contigs	AM-388-A01_NODE_13	7	4870	5781	-1	C	K00611	ornithine carbamoyltransferase [EC:2.1.3.3]								Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain [PF00185.27]; Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain [PF02729.24]					0
AM-388-A01_contigs_AM-388-A01_NODE_13_8	AM-388-A01_contigs	AM-388-A01_NODE_13	8	5852	7075	-1	C	K01940	argininosuccinate synthase [EC:6.3.4.5]								Arginosuccinate synthase [PF00764.22]; Queuosine biosynthesis protein QueC [PF06508.16]					0
AM-388-A01_contigs_AM-388-A01_NODE_13_9	AM-388-A01_contigs	AM-388-A01_NODE_13	9	7078	8049	-1	C	K00145	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]								Semialdehyde dehydrogenase, NAD binding domain [PF01118.27]; Semialdehyde dehydrogenase, dimerisation domain [PF02774.21]					0
AM-388-A01_contigs_AM-388-A01_NODE_13_10	AM-388-A01_contigs	AM-388-A01_NODE_13	10	8046	9182	-1	C	K00821	acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]								Aminotransferase class-III [PF00202.24]					0
AM-388-A01_contigs_AM-388-A01_NODE_13_11	AM-388-A01_contigs	AM-388-A01_NODE_13	11	9172	10002	-1	C	K00930	acetylglutamate kinase [EC:2.7.2.8]								Amino acid kinase family [PF00696.31]					0
AM-388-A01_contigs_AM-388-A01_NODE_13_12	AM-388-A01_contigs	AM-388-A01_NODE_13	12	10004	11158	-1	C	K00620	glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]	MER1102182	T05	MER1102182 - family T5 unassigned peptidases (Terribacillus aidingensis) [T05.UPW]#T05#{peptidase unit: 194-407}~source A0A075LLX1~	False	0.498	200.0	4.445e-54	ArgJ family [PF01960.21]					0
AM-388-A01_contigs_AM-388-A01_NODE_13_13	AM-388-A01_contigs	AM-388-A01_NODE_13	13	11319	12692	1	D										Glutamate-cysteine ligase family 2(GCS2) [PF04107.16]					0
AM-388-A01_contigs_AM-388-A01_NODE_13_14	AM-388-A01_contigs	AM-388-A01_NODE_13	14	12827	13084	1	C	K02917	large subunit ribosomal protein L35Ae								Ribosomal protein L35Ae [PF01247.21]					0
AM-388-A01_contigs_AM-388-A01_NODE_13_15	AM-388-A01_contigs	AM-388-A01_NODE_13	15	13237	13494	1	D										Bacterial regulatory protein, arsR family [PF01022.23]; Helix-turn-helix domain [PF12840.10]					0
AM-388-A01_contigs_AM-388-A01_NODE_13_16	AM-388-A01_contigs	AM-388-A01_NODE_13	16	13491	14138	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_14_1	AM-388-A01_contigs	AM-388-A01_NODE_14	1	81	722	1	C	K07732	riboflavin kinase, archaea type [EC:2.7.1.161]								Domain of unknown function DUF120 [PF01982.19]					0
AM-388-A01_contigs_AM-388-A01_NODE_14_2	AM-388-A01_contigs	AM-388-A01_NODE_14	2	727	1194	1	D										6,7-dimethyl-8-ribityllumazine synthase [PF00885.22]					0
AM-388-A01_contigs_AM-388-A01_NODE_14_3	AM-388-A01_contigs	AM-388-A01_NODE_14	3	1223	1636	1	C	K00794	6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]								6,7-dimethyl-8-ribityllumazine synthase [PF00885.22]					0
AM-388-A01_contigs_AM-388-A01_NODE_14_4	AM-388-A01_contigs	AM-388-A01_NODE_14	4	1790	2152	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_14_5	AM-388-A01_contigs	AM-388-A01_NODE_14	5	2209	2979	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_14_6	AM-388-A01_contigs	AM-388-A01_NODE_14	6	3245	4342	1	C	K01974	RNA 3'-terminal phosphate cyclase (ATP) [EC:6.5.1.4]								RNA 3'-terminal phosphate cyclase [PF01137.24]; RNA 3'-terminal phosphate cyclase (RTC), insert domain [PF05189.16]					0
AM-388-A01_contigs_AM-388-A01_NODE_14_7	AM-388-A01_contigs	AM-388-A01_NODE_14	7	4602	4880	1	D										EF-1 guanine nucleotide exchange domain [PF00736.22]					0
AM-388-A01_contigs_AM-388-A01_NODE_14_8	AM-388-A01_contigs	AM-388-A01_NODE_14	8	4968	6353	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_14_9	AM-388-A01_contigs	AM-388-A01_NODE_14	9	6417	7196	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_14_10	AM-388-A01_contigs	AM-388-A01_NODE_14	10	7232	8308	-1	C	K00555	tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase [EC:2.1.1.215 2.1.1.216]								N2,N2-dimethylguanosine tRNA methyltransferase [PF02005.19]					0
AM-388-A01_contigs_AM-388-A01_NODE_14_11	AM-388-A01_contigs	AM-388-A01_NODE_14	11	8359	9159	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_14_12	AM-388-A01_contigs	AM-388-A01_NODE_14	12	9175	9540	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_14_13	AM-388-A01_contigs	AM-388-A01_NODE_14	13	9664	11424	1	C	K03243	translation initiation factor 5B								Elongation factor Tu domain 4 [PF14578.9]; Elongation factor Tu GTP binding domain [PF00009.30]; Translation-initiation factor 2 [PF11987.11]					0
AM-388-A01_contigs_AM-388-A01_NODE_14_14	AM-388-A01_contigs	AM-388-A01_NODE_14	14	11428	11883	1	D										RNA-binding PUA-like domain of methyltransferase RsmF [PF13636.9]					0
AM-388-A01_contigs_AM-388-A01_NODE_14_15	AM-388-A01_contigs	AM-388-A01_NODE_14	15	11880	12224	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_14_16	AM-388-A01_contigs	AM-388-A01_NODE_14	16	12229	12594	-1	D										PUA domain [PF01472.23]					0
AM-388-A01_contigs_AM-388-A01_NODE_15_1	AM-388-A01_contigs	AM-388-A01_NODE_15	1	2	184	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_15_2	AM-388-A01_contigs	AM-388-A01_NODE_15	2	198	737	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_15_3	AM-388-A01_contigs	AM-388-A01_NODE_15	3	741	1388	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_15_4	AM-388-A01_contigs	AM-388-A01_NODE_15	4	1761	2600	1	D										Diguanylate cyclase, GGDEF domain [PF00990.24]; Cation efflux system protein CusB domain 1 [PF00529.23]					0
AM-388-A01_contigs_AM-388-A01_NODE_15_5	AM-388-A01_contigs	AM-388-A01_NODE_15	5	2584	3081	-1	D										Domain of unknown function (DUF4416) [PF14385.9]					0
AM-388-A01_contigs_AM-388-A01_NODE_15_6	AM-388-A01_contigs	AM-388-A01_NODE_15	6	3068	4639	-1	C	K03726	ATP-dependent DNA helicase [EC:5.6.2.4]								Helix-turn-helix domain [PF20470.1]; Helicase conserved C-terminal domain [PF00271.34]					0
AM-388-A01_contigs_AM-388-A01_NODE_15_7	AM-388-A01_contigs	AM-388-A01_NODE_15	7	4671	6602	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_15_8	AM-388-A01_contigs	AM-388-A01_NODE_15	8	6646	7803	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_15_9	AM-388-A01_contigs	AM-388-A01_NODE_15	9	7974	9326	1	C	K03106	signal recognition particle subunit SRP54 [EC:3.6.5.4]								SRP54-type protein, GTPase domain [PF00448.25]; Signal peptide binding domain [PF02978.22]; SRP54-type protein, helical bundle domain [PF02881.22]; VirC1 protein [PF07015.14]					0
AM-388-A01_contigs_AM-388-A01_NODE_15_10	AM-388-A01_contigs	AM-388-A01_NODE_15	10	9368	9979	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_15_11	AM-388-A01_contigs	AM-388-A01_NODE_15	11	9986	10603	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_15_12	AM-388-A01_contigs	AM-388-A01_NODE_15	12	10689	11951	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_15_13	AM-388-A01_contigs	AM-388-A01_NODE_15	13	12073	12186	1	E															0
